,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
101,Mar del Plata,AR,1613509687,-38.0023,-57.5575,69.01,88,90,12.66
102,Arrondissement de Perpignan,FR,1613510123,42.75,2.75,48.99,81,0,4.61
103,Arraial do Cabo,BR,1613509737,-22.9661,-42.0278,84.2,78,20,6.91
104,Cabedelo,BR,1613510123,-6.9811,-34.8339,80.6,83,75,9.22
105,Vostok,RU,1613509931,46.4856,135.8833,8.71,96,100,6.55
106,Te Anau,NZ,1613509911,-45.4167,167.7167,50.0,65,10,0.22
107,Marihatag,PH,1613510123,8.7936,126.2969,76.23,78,100,6.2
108,Nagato,JP,1613510123,34.3833,131.2,37.4,93,75,16.11
109,Bengkulu,ID,1613509737,-3.8004,102.2655,76.26,86,100,4.0
110,Makkah al Mukarramah,SA,1613509895,21.4267,39.8261,77.0,55,0,2.98
111,Shache,CN,1613510124,38.4167,77.2406,36.19,70,96,3.06
112,Mayskiy,RU,1613510124,47.6931,40.1025,15.8,67,20,11.18
113,Merauke,ID,1613509727,-8.4667,140.3333,77.23,88,100,14.09
114,Bentiu,SS,1613510124,9.2333,29.8333,83.12,18,87,3.6
115,Tuktoyaktuk,CA,1613509708,69.4541,-133.0374,-20.2,76,90,9.22
116,Maniitsoq,GL,1613510124,65.4167,-52.9,2.82,82,10,6.89
117,Beringovskiy,RU,1613510124,63.05,179.3167,-14.01,86,37,13.69
118,Hong Kong,HK,1613509473,22.2855,114.1577,68.0,71,2,10.63
119,Albany,US,1613509692,42.6001,-73.9662,37.0,85,100,5.01
120,Kainantu,PG,1613510125,-6.2887,145.8655,61.72,95,100,1.86
121,Ostrovnoy,RU,1613509756,68.0531,39.5131,0.21,92,89,8.21
122,Balaka,MW,1613510125,-14.9793,34.9558,71.17,89,100,4.97
123,Youghal,IE,1613510125,51.95,-7.8506,48.0,93,75,16.11
124,Carutapera,BR,1613509770,-1.195,-46.02,75.94,94,100,5.23
125,Tiksi,RU,1613509693,71.6872,128.8694,-23.08,83,36,3.06
126,Udayagiri,IN,1613510126,20.1333,84.3833,61.09,70,0,2.17
127,Meulaboh,ID,1613509745,4.1363,96.1285,77.97,82,43,4.7
128,Vila Velha,BR,1613509698,-20.3297,-40.2925,78.8,89,75,6.91
129,Novyy Rogachik,RU,1613510126,48.6768,44.0608,10.4,72,0,11.18
130,Platteville,US,1613510126,42.7342,-90.4785,17.6,57,1,3.13
131,Pevek,RU,1613509704,69.7008,170.3133,-23.19,88,2,3.24
132,Thinadhoo,MV,1613510127,0.5333,72.9333,80.91,68,10,0.65
133,São Félix do Xingu,BR,1613510127,-6.6447,-51.995,77.13,95,100,1.03
134,Olinda,BR,1613510127,-8.0089,-34.8553,80.6,69,75,9.22
135,Lagoa,PT,1613509945,39.05,-27.9833,58.17,76,100,22.91
136,Prymors'k,UA,1613510127,46.7348,36.3443,21.65,85,0,11.39
137,Pidhorodne,UA,1613510128,48.5753,35.1068,5.0,85,0,5.3
138,Hofn,IS,1613509693,64.2539,-15.2082,40.19,89,100,14.34
139,Dalbandin,PK,1613510128,28.8947,64.4101,54.1,31,0,3.49
140,Sinnamary,GF,1613509988,5.3833,-52.95,77.61,75,33,11.32
141,Kattivākkam,IN,1613510128,13.2167,80.3167,73.4,78,20,6.53
142,Farafangana,MG,1613510128,-22.8167,47.8333,74.35,93,100,7.25
143,Villacarrillo,ES,1613510128,38.1156,-3.0848,47.91,54,100,1.1
144,Ahipara,NZ,1613509749,-35.1667,173.1667,66.9,68,87,7.92
145,Halifax,CA,1613509680,44.6453,-63.5724,36.0,100,90,16.11
146,Port-Cartier,CA,1613510129,50.0334,-66.8654,17.01,53,90,5.75
147,Soe,ID,1613509977,-9.8607,124.284,65.77,100,100,3.18
148,Katsuura,JP,1613509762,35.1333,140.3,50.0,43,20,28.77
149,Tambopata,PE,1613510129,-12.7333,-69.1833,80.6,83,75,5.75
150,Teya,RU,1613510129,60.3778,92.6267,-4.85,88,49,2.44
151,Provideniya,RU,1613509700,64.3833,-173.3,-0.4,65,0,15.66
152,Yellowknife,CA,1613509717,62.456,-114.3525,-14.01,76,75,3.44
153,Khāsh,IR,1613510130,28.2211,61.2158,46.18,39,0,2.21
154,Antalaha,MG,1613510130,-14.9003,50.2788,78.04,89,100,3.44
155,Henties Bay,NA,1613509708,-22.116,14.2845,64.0,89,1,1.99
156,Kribi,CM,1613510130,2.95,9.9167,81.68,82,93,9.64
157,Padang,ID,1613509922,-0.9492,100.3543,73.4,94,20,2.3
158,Bambous Virieux,MU,1613509702,-20.3428,57.7575,77.0,100,40,4.61
159,College,US,1613509741,64.8569,-147.8028,10.4,79,90,3.44
160,Cayenne,GF,1613510131,4.9333,-52.3333,82.4,61,20,9.22
161,Pisco,PE,1613509733,-13.7,-76.2167,80.6,61,0,11.5
162,Bikaner,IN,1613509839,28.0167,73.3,64.63,26,0,6.4
163,Ribeira Grande,PT,1613509717,38.5167,-28.7,55.4,94,75,11.5
164,Bontang,ID,1613510131,0.1333,117.5,78.57,83,100,5.68
165,Nikolskoye,RU,1613509693,59.7035,30.7861,14.0,73,75,13.42
166,Batagay-Alyta,RU,1613509712,67.8006,130.4114,-32.96,82,0,0.58
167,Carnarvon,AU,1613509705,-24.8667,113.6333,77.0,100,75,17.27
168,Bethanien,NA,1613510132,-26.502,17.1583,77.63,18,0,8.79
169,Kaitangata,NZ,1613509697,-46.2817,169.8464,53.01,73,5,7.0
170,Omboué,GA,1613510132,-1.5746,9.2618,78.91,87,2,6.42
171,Valparaíso,CL,1613510013,-33.0393,-71.6273,69.8,56,40,6.91
172,Brigantine,US,1613509873,39.4101,-74.3646,51.01,76,90,13.8
173,Mount Isa,AU,1613510133,-20.7333,139.5,77.0,78,90,8.05
174,Delmas 73,HT,1613509996,18.5447,-72.3028,86.0,54,20,13.8
175,Kasongo-Lunda,CD,1613510133,-6.4667,16.8167,72.28,89,100,1.23
176,Muriti,TZ,1613510133,-1.9833,32.9167,73.08,73,69,8.68
177,Palmas,BR,1613510133,-10.2128,-48.3603,82.4,74,20,2.3
178,Soyo,AO,1613510134,-6.1349,12.3689,81.14,78,92,7.29
179,Kahului,US,1613509736,20.8947,-156.47,78.8,65,40,8.05
180,Shahr-e Kord,IR,1613510134,32.3256,50.8644,32.0,43,0,4.61
181,Sur,OM,1613509715,22.5667,59.5289,70.5,68,0,10.0
182,Poso,ID,1613510134,-1.3959,120.7524,78.15,73,100,4.16
183,Skjervøy,NO,1613509903,70.0311,20.9714,27.66,85,87,9.44
184,Tacoronte,ES,1613510066,28.4769,-16.4102,64.99,37,0,12.46
185,Mareeba,AU,1613509950,-17.0,145.4333,75.2,94,75,8.05
186,Benton,US,1613509913,36.3334,-94.3335,18.0,53,1,4.61
187,Elizabeth City,US,1613509758,36.2946,-76.2511,66.2,39,1,19.57
188,Sahuaripa,MX,1613510135,29.05,-109.2333,69.98,25,53,23.69
189,Daru,PG,1613509924,-9.0763,143.2092,76.64,90,100,10.8
190,Bantou,CN,1613510136,26.2151,117.4893,52.03,89,41,2.82
191,Severo-Kuril'sk,RU,1613509694,50.6789,156.125,31.93,98,100,19.44
192,Jönköping,SE,1613509880,57.7814,14.1562,28.4,86,75,6.91
193,Guerrero Negro,MX,1613509734,27.9769,-114.0611,63.99,64,98,15.9
194,Kodinsk,RU,1613509905,58.6881,99.1844,11.59,95,100,2.84
195,Komagane,JP,1613510137,35.7296,137.9396,34.0,82,99,8.01
196,Kendari,ID,1613509774,-3.945,122.4989,75.51,89,97,2.57
197,Bubaque,GW,1613509912,11.2833,-15.8333,77.58,67,98,15.64
198,Narok,KE,1613510137,-1.0783,35.8601,59.59,76,83,1.99
199,Witu,KE,1613510137,-2.3889,40.4382,74.55,87,100,7.07
200,Yulara,AU,1613509691,-25.2406,130.9889,73.4,38,0,8.05
201,Hambantota,LK,1613509735,6.1241,81.1185,75.04,81,7,11.52
202,Baykit,RU,1613510016,61.67,96.37,-6.25,87,100,2.26
203,Ilulissat,GL,1613509691,69.2167,-51.1,1.4,60,75,8.05
204,Iwaki,JP,1613509760,37.05,140.8833,25.0,89,42,8.97
205,Atbasar,KZ,1613510139,51.8,68.3333,-1.7,90,97,5.84
206,Zaria,NG,1613510139,11.1113,7.7227,73.74,17,0,12.33
207,Muroto-misakicho,JP,1613510140,33.2833,134.15,45.81,63,89,30.47
208,Shingū,JP,1613509906,33.7333,135.9833,42.78,69,46,14.2
209,Port Elizabeth,ZA,1613509739,-33.918,25.5701,66.2,68,75,8.05
210,Lüderitz,NA,1613509697,-26.6481,15.1594,65.35,70,0,6.64
211,Itoman,JP,1613510140,26.1247,127.6694,57.2,94,75,5.75
212,Champerico,GT,1613509726,14.3,-91.9167,91.4,52,40,9.22
213,Haines Junction,CA,1613510007,60.7522,-137.5108,-14.8,53,100,1.9
214,Zandvoort,NL,1613510141,52.3749,4.5341,44.6,93,75,10.36
215,Yangi Marg`ilon,UZ,1613509971,40.4272,71.7189,50.0,27,0,6.91
216,Patiāla,IN,1613510141,30.3267,76.4003,54.21,52,0,4.38
217,General Roca,AR,1613510141,-39.0333,-67.5833,87.8,25,0,2.3
218,Saint-Louis,SN,1613510142,16.3333,-15.0,86.07,13,100,9.8
219,Gatton,AU,1613510142,-27.55,152.2833,71.6,73,40,8.05
220,Porbandar,IN,1613510143,21.6422,69.6093,68.23,79,0,9.17
221,Guangyuan,CN,1613509903,32.442,105.823,43.0,52,100,2.48
222,Indiaroba,BR,1613510143,-11.5192,-37.5117,79.86,81,99,5.61
223,Srednekolymsk,RU,1613509702,67.45,153.6833,-16.49,88,100,4.52
224,East London,ZA,1613509698,-33.0153,27.9116,66.7,68,31,8.63
225,Comodoro Rivadavia,AR,1613509708,-45.8667,-67.5,75.2,38,0,16.11
226,Shinuhayr,AM,1613510143,39.4367,46.3179,40.39,74,99,2.42
227,Capinota,BO,1613509869,-17.7167,-66.2333,69.8,46,75,5.75
228,Chivilcoy,AR,1613510135,-34.8957,-60.0167,77.0,67,0,10.0
229,Bathsheba,BB,1613509726,13.2167,-59.5167,78.8,61,40,23.02
230,Faanui,PF,1613509707,-16.4833,-151.75,82.08,68,1,9.69
231,San-Pédro,CI,1613510144,4.7485,-6.6363,79.29,87,100,5.08
232,Zhoucheng,CN,1613510144,35.9122,116.3117,25.77,63,0,6.87
233,Longyearbyen,SJ,1613509693,78.2186,15.6401,37.4,75,75,19.57
234,Geraldton,AU,1613509448,-28.7667,114.6,71.6,88,90,10.36
235,Garden City,US,1613510112,42.3256,-83.331,21.2,58,75,12.66
236,Tasiilaq,GL,1613509707,65.6145,-37.6368,32.0,86,75,17.27
237,Mgandu,TZ,1613510145,-5.95,34.1333,61.12,92,99,1.59
238,Worland,US,1613510145,44.0169,-107.9554,23.0,58,20,2.44
239,Deputatsky,RU,1613510145,69.3,139.9,-23.42,88,98,0.27
240,Quilmaná,PE,1613510145,-12.95,-76.3833,77.83,55,23,7.07
241,Torres,BR,1613510146,-29.3353,-49.7269,77.43,77,50,4.7
242,Nanortalik,GL,1613509714,60.1432,-45.2371,17.04,88,100,18.39
243,Dolinsk,RU,1613510146,47.35,142.8,26.6,93,90,15.66
244,Cairns,AU,1613509992,-16.9167,145.7667,75.2,94,75,8.05
245,Bani Walid,LY,1613510147,31.7566,13.9942,44.69,63,0,5.55
246,Saldanha,ZA,1613509730,-33.0117,17.9442,66.2,68,0,5.75
247,Esil,KZ,1613510147,51.9556,66.4042,-6.36,89,98,4.29
248,Khatanga,RU,1613509712,71.9667,102.5,-19.41,83,91,7.99
249,Pestretsy,RU,1613510147,55.7531,49.6545,-11.2,77,0,6.71
250,Clyde River,CA,1613509701,70.4692,-68.5914,-20.2,76,40,4.61
251,Lashio,MM,1613510147,22.9333,97.75,52.07,62,0,1.7
252,Kalāleh,IR,1613510147,37.3807,55.4916,46.4,87,0,9.06
253,Hualmay,PE,1613509706,-11.0964,-77.6139,77.47,62,7,8.88
254,Northam,GB,1613510148,51.0333,-4.2167,48.99,93,43,13.0
255,Souillac,MU,1613509735,-20.5167,57.5167,77.0,100,40,4.61
256,Mahébourg,MU,1613509709,-20.4081,57.7,77.0,100,40,4.61
257,Atar,MR,1613509776,20.5169,-13.0499,72.64,21,64,10.56
258,The Pas,CA,1613509966,53.8251,-101.2541,3.2,51,1,10.36
259,Payo,ID,1613510148,-3.7508,103.6372,73.81,96,100,1.23
260,Eenhana,NA,1613510148,-17.4667,16.3333,77.0,57,18,2.3
261,Puerto Escondido,MX,1613509707,15.85,-97.0667,80.6,78,20,9.22
262,Nouakchott,MR,1613510149,18.0858,-15.9785,78.8,17,86,9.22
263,Jacqueville,CI,1613509871,5.2052,-4.4146,80.6,89,20,4.61
264,Kumul,CN,1613509728,42.8,93.45,31.1,79,0,1.63
265,Codrington,AU,1613509884,-38.2667,141.9667,69.76,54,1,6.04
266,Kamaishi,JP,1613509947,39.2667,141.8833,30.29,91,63,14.92
267,Emerald,AU,1613509764,-23.5333,148.1667,71.6,83,0,6.91
268,Bilma,NE,1613509920,18.6853,12.9164,59.43,35,0,19.93
269,Senno,RU,1613510150,59.5336,33.9167,-0.99,83,96,7.18
270,Biltine,TD,1613510150,14.5333,20.9167,68.34,25,31,20.22
271,Mahajanga,MG,1613510150,-15.7167,46.3167,78.8,94,40,3.44
272,Acapulco de Juárez,MX,1613509683,16.8634,-99.8901,80.6,61,75,11.5
273,Malanville,BJ,1613510150,11.8685,3.3899,84.9,13,0,12.62
274,Mahabalipuram,IN,1613510150,12.6264,80.1722,73.4,78,20,5.79
275,Port Alfred,ZA,1613509697,-33.5906,26.891,64.36,67,50,10.69
276,Esperance,AU,1613509701,-33.8667,121.9,68.0,83,60,5.75
277,Riyadh,SA,1613510151,24.6877,46.7219,71.6,21,0,8.05
278,Mogadishu,SO,1613509631,2.0371,45.3438,77.0,83,29,19.64
279,Alghero,IT,1613510151,40.5589,8.3181,48.2,81,75,2.3
280,Husavik,IS,1613509716,66.0449,-17.3389,33.8,93,90,5.75
281,Dauphin,CA,1613510151,51.1494,-100.0502,1.4,60,1,4.61
282,Samarai,PG,1613509894,-10.6167,150.6667,79.0,84,100,5.93
283,Capreol,CA,1613510152,46.706,-80.9225,12.99,44,75,10.36
284,Tuatapere,NZ,1613509725,-46.1333,167.6833,54.0,78,7,1.86
285,Saint Anthony,US,1613509728,45.0205,-93.218,10.99,48,1,1.79
286,Galesong,ID,1613509734,-5.3166,119.3661,73.4,100,20,1.14
287,Arrondissement de Bourg-en-Bresse,FR,1613510152,46.1667,5.1667,50.0,81,98,7.0
288,Maceió,BR,1613510079,-9.6658,-35.7353,80.6,83,0,12.66
289,Great Bend,US,1613509553,38.3645,-98.7648,12.2,62,90,16.11
290,Añisoc,GQ,1613510153,1.8658,10.7689,72.36,95,99,2.1
291,Roald,NO,1613510153,62.5833,6.1333,42.8,56,75,13.8
292,Puerto Nariño,CO,1613510153,-3.7703,-70.3831,77.0,100,75,3.44
293,El'brus,RU,1613510154,43.2577,42.6443,22.93,85,100,8.08
294,Lavrentiya,RU,1613509720,65.5833,-171.0,-18.31,84,0,10.74
295,Kiunga,PG,1613510154,-6.1219,141.2906,71.28,98,100,3.38
296,Seoul,KR,1613509913,37.5683,126.9778,15.8,44,0,13.8
297,Porto-Novo,BJ,1613509766,6.4965,2.6036,86.0,84,20,10.36
298,Tsimmerbude,RU,1613510154,54.675,20.1347,26.01,74,0,4.47
299,Sitka,US,1613509703,57.0531,-135.33,35.6,80,90,8.05
300,Lethem,GY,1613510154,3.3803,-59.7968,87.8,62,20,13.8
301,Impfondo,CG,1613510155,1.6381,18.0667,75.15,78,44,2.28
302,Río Tercero,AR,1613509857,-32.173,-64.1141,75.0,60,32,4.0
303,Alta Floresta,BR,1613509729,-9.8756,-56.0861,87.8,62,40,6.91
304,Xichang,CN,1613510155,27.8964,102.2634,44.06,76,99,4.43
305,Santa Cruz de la Sierra,BO,1613509839,-17.8,-63.1667,82.4,65,75,4.61
306,Conceição do Mato Dentro,BR,1613510155,-19.0372,-43.425,75.63,84,3,2.84
307,Tibagi,BR,1613510156,-24.5094,-50.4136,75.61,66,49,6.13
308,Gorontalo,ID,1613510156,0.5412,123.0595,75.72,87,63,2.84
309,Tutóia,BR,1613510156,-2.7619,-42.2744,75.2,100,90,4.36
310,Kavieng,PG,1613509706,-2.5744,150.7967,82.85,76,14,12.33
311,Saint-Paul,RE,1613510156,-21.0096,55.2707,73.0,93,100,6.33
312,Langxiang,CN,1613510156,46.95,128.8833,-4.47,90,100,3.65
313,Kondopoga,RU,1613510156,62.2057,34.2614,-2.2,78,99,8.95
314,Namikupa,TZ,1613510157,-10.8333,39.6,72.45,97,98,5.46
315,Nerekhta,RU,1613510157,57.4588,40.5747,6.8,78,90,6.71
316,Camacha,PT,1613509697,33.0833,-16.3333,62.6,94,20,3.44
317,Mackay,AU,1613510157,-21.15,149.2,78.8,69,75,17.27
318,Ponta do Sol,PT,1613509712,32.6667,-17.1,66.2,30,20,6.91
319,El Alto,PE,1613509690,-4.2714,-81.2147,84.2,54,0,16.11
320,São Filipe,CV,1613509710,14.8961,-24.4956,72.81,68,68,6.55
321,Christchurch,NZ,1613509774,-43.5333,172.6333,59.0,71,0,2.3
322,San Jose,US,1613509484,37.3394,-121.895,57.99,50,90,10.36
323,Poum,NC,1613509923,-20.2333,164.0167,80.89,81,18,7.43
324,Kwang Binh,VN,1613510158,17.4833,106.6,68.97,87,94,7.72
325,Yazoo City,US,1613510158,32.8551,-90.4056,30.2,59,1,4.29
326,Turan,VN,1613510158,16.0678,108.2208,66.2,94,20,1.14
327,Taganak,PH,1613510159,6.0833,118.3,77.0,94,20,4.61
328,Acaraú,BR,1613510159,-2.8856,-40.12,75.22,90,100,2.13
329,Caucayá,CO,1613510159,-0.1934,-74.7819,90.46,53,100,1.45
330,Taoudenni,ML,1613510159,22.6783,-3.9836,70.18,22,68,24.36
331,Barrow,US,1613509714,71.2906,-156.7887,-9.4,70,90,11.5
332,Jardim,BR,1613510159,-21.4803,-56.1381,77.14,84,94,3.18
333,San Cristobal,VE,1613509980,7.7669,-72.225,86.0,58,40,10.36
334,City of San Pedro,PH,1613510160,14.35,121.0167,75.2,78,20,2.3
335,Yantal',RU,1613510160,56.8471,105.2542,11.97,94,100,6.87
336,Mwense,ZM,1613510160,-10.3845,28.698,67.3,91,94,3.47
337,Arang,IN,1613510160,21.2,81.9667,69.42,42,83,5.86
338,Cidreira,BR,1613509713,-30.1811,-50.2056,76.39,78,6,9.71
339,Kyshtovka,RU,1613510161,56.555,76.6271,-7.73,91,14,6.46
340,San Andrés,CO,1613510006,12.5847,-81.7006,86.0,70,20,13.8
341,Napier City,NZ,1613510161,-39.4833,176.9167,60.01,72,100,5.99
342,Naushki,RU,1613510161,50.3828,106.1056,-5.39,88,10,2.89
343,Moscow,RU,1613509873,55.7522,37.6156,10.4,85,90,11.18
344,Rawson,AR,1613509930,-43.3002,-65.1023,78.91,29,0,23.04
345,São Gabriel da Cachoeira,BR,1613510161,-0.1303,-67.0892,86.56,68,97,0.72
346,Beyneu,KZ,1613509911,45.3167,55.2,40.17,89,94,21.79
347,Strzelce Opolskie,PL,1613510162,50.5107,18.3006,30.0,10,97,4.0
348,Salalah,OM,1613509718,17.0151,54.0924,71.6,73,0,2.3
349,Llangefni,GB,1613510162,53.2556,-4.3106,46.99,93,40,19.57
350,Constitución,CL,1613509703,-35.3333,-72.4167,61.14,71,61,8.37
351,Ciudad Guayana,VE,1613510163,8.3533,-62.6528,82.99,62,100,4.0
352,Sept-Îles,CA,1613509764,50.2001,-66.3821,17.01,53,90,6.91
353,Bandarbeyla,SO,1613509771,9.4942,50.8122,75.16,75,24,9.26
354,Coyhaique,CL,1613509746,-45.5752,-72.0662,60.8,44,75,9.22
